bike_number,start_latitude,start_longitude,start_time,end_latitude,end_longitude,end_time,duration,distance,segments,date
386084,50.580418,8.664761,2024-12-21T00:03:58,50.58453,8.680142,2024-12-21T00:23:13,1155.213233,1429.7989999999998,"[[50.5803143, 8.6646412, '2024-12-21T00:03:58'], [50.5803588, 8.6645584, '2024-12-21T00:04:28.400348237'], [50.5804093, 8.6644626, '2024-12-21T00:04:58.800696474'], [50.5806046, 8.6646893, '2024-12-21T00:05:29.201044711'], [50.5809885, 8.6651658, '2024-12-21T00:05:59.601392947'], [50.5811638, 8.6653758, '2024-12-21T00:06:30.001741184'], [50.5811853, 8.6654033, '2024-12-21T00:07:00.402089421'], [50.5812321, 8.6654611, '2024-12-21T00:07:30.802437658'], [50.5813834, 8.6657269, '2024-12-21T00:08:01.202785895'], [50.5811532, 8.6662801, '2024-12-21T00:08:31.603134132'], [50.5810005, 8.6665855, '2024-12-21T00:09:02.003482368'], [50.5809898, 8.6666084, '2024-12-21T00:09:32.403830605'], [50.5808884, 8.6668114, '2024-12-21T00:10:02.804178842'], [50.5808749, 8.666839, '2024-12-21T00:10:33.204527079'], [50.5806841, 8.6672001, '2024-12-21T00:11:03.604875316'], [50.5803911, 8.6677252, '2024-12-21T00:11:34.005223553'], [50.5803586, 8.6677869, '2024-12-21T00:12:04.405571789'], [50.5802769, 8.6679503, '2024-12-21T00:12:34.805920026'], [50.5811967, 8.6692149, '2024-12-21T00:13:05.206268263'], [50.5817988, 8.6699706, '2024-12-21T00:13:35.606616500'], [50.5818087, 8.6704211, '2024-12-21T00:14:06.006964737'], [50.5816562, 8.6709338, '2024-12-21T00:14:36.407312974'], [50.581634, 8.6711747, '2024-12-21T00:15:06.807661211'], [50.5816754, 8.6716856, '2024-12-21T00:15:37.208009447'], [50.5818191, 8.6721887, '2024-12-21T00:16:07.608357684'], [50.5820836, 8.6729967, '2024-12-21T00:16:38.008705921'], [50.582221, 8.673412, '2024-12-21T00:17:08.409054158'], [50.5823327, 8.6737516, '2024-12-21T00:17:38.809402395'], [50.5825524, 8.6744123, '2024-12-21T00:18:09.209750632'], [50.5825674, 8.6744628, '2024-12-21T00:18:39.610098868'], [50.5827766, 8.6750906, '2024-12-21T00:19:10.010447105'], [50.5832674, 8.6766562, '2024-12-21T00:19:40.410795342'], [50.5835333, 8.6773789, '2024-12-21T00:20:10.811143579'], [50.5835838, 8.6774954, '2024-12-21T00:20:41.211491816'], [50.5840111, 8.6783895, '2024-12-21T00:21:11.611840053'], [50.5846631, 8.6792155, '2024-12-21T00:21:42.012188289'], [50.5845542, 8.679455, '2024-12-21T00:22:12.412536526'], [50.5843851, 8.6800729, '2024-12-21T00:22:42.812884763'], [50.5844574, 8.6802382, '2024-12-21T00:23:13.213233']]",2024-12-21
386128,50.580418,8.664761,2024-12-21T00:03:58,50.585137,8.671877,2024-12-21T00:10:03,364.8979,935.381,"[[50.5803143, 8.6646412, '2024-12-21T00:03:58'], [50.5803588, 8.6645584, '2024-12-21T00:04:11.514737036'], [50.5804093, 8.6644626, '2024-12-21T00:04:25.029474074'], [50.5806046, 8.6646893, '2024-12-21T00:04:38.544211111'], [50.5809885, 8.6651658, '2024-12-21T00:04:52.058948148'], [50.5811638, 8.6653758, '2024-12-21T00:05:05.573685185'], [50.5811853, 8.6654033, '2024-12-21T00:05:19.088422222'], [50.5812321, 8.6654611, '2024-12-21T00:05:32.603159259'], [50.5813834, 8.6657269, '2024-12-21T00:05:46.117896296'], [50.5818566, 8.6662279, '2024-12-21T00:05:59.632633333'], [50.5823711, 8.6668991, '2024-12-21T00:06:13.147370370'], [50.5826248, 8.6672063, '2024-12-21T00:06:26.662107407'], [50.5827557, 8.6673703, '2024-12-21T00:06:40.176844444'], [50.5830158, 8.6676962, '2024-12-21T00:06:53.691581481'], [50.583821, 8.6687239, '2024-12-21T00:07:07.206318519'], [50.5830916, 8.6692977, '2024-12-21T00:07:20.721055556'], [50.5830915, 8.6694553, '2024-12-21T00:07:34.235792593'], [50.5831059, 8.6697457, '2024-12-21T00:07:47.750529630'], [50.5834598, 8.6702924, '2024-12-21T00:08:01.265266667'], [50.5835441, 8.6704397, '2024-12-21T00:08:14.780003704'], [50.5835815, 8.6705078, '2024-12-21T00:08:28.294740741'], [50.584205, 8.670755, '2024-12-21T00:08:41.809477778'], [50.5842983, 8.6710539, '2024-12-21T00:08:55.324214815'], [50.5843812, 8.6711841, '2024-12-21T00:09:08.838951852'], [50.584436, 8.6712702, '2024-12-21T00:09:22.353688889'], [50.5847366, 8.6718143, '2024-12-21T00:09:35.868425926'], [50.5849066, 8.6715423, '2024-12-21T00:09:49.383162963'], [50.5850526, 8.6718473, '2024-12-21T00:10:02.897900']]",2024-12-21
91219,50.580418,8.664761,2024-12-21T00:03:58,50.585137,8.671877,2024-12-21T00:10:03,364.8979,935.381,"[[50.5803143, 8.6646412, '2024-12-21T00:03:58'], [50.5803588, 8.6645584, '2024-12-21T00:04:11.514737036'], [50.5804093, 8.6644626, '2024-12-21T00:04:25.029474074'], [50.5806046, 8.6646893, '2024-12-21T00:04:38.544211111'], [50.5809885, 8.6651658, '2024-12-21T00:04:52.058948148'], [50.5811638, 8.6653758, '2024-12-21T00:05:05.573685185'], [50.5811853, 8.6654033, '2024-12-21T00:05:19.088422222'], [50.5812321, 8.6654611, '2024-12-21T00:05:32.603159259'], [50.5813834, 8.6657269, '2024-12-21T00:05:46.117896296'], [50.5818566, 8.6662279, '2024-12-21T00:05:59.632633333'], [50.5823711, 8.6668991, '2024-12-21T00:06:13.147370370'], [50.5826248, 8.6672063, '2024-12-21T00:06:26.662107407'], [50.5827557, 8.6673703, '2024-12-21T00:06:40.176844444'], [50.5830158, 8.6676962, '2024-12-21T00:06:53.691581481'], [50.583821, 8.6687239, '2024-12-21T00:07:07.206318519'], [50.5830916, 8.6692977, '2024-12-21T00:07:20.721055556'], [50.5830915, 8.6694553, '2024-12-21T00:07:34.235792593'], [50.5831059, 8.6697457, '2024-12-21T00:07:47.750529630'], [50.5834598, 8.6702924, '2024-12-21T00:08:01.265266667'], [50.5835441, 8.6704397, '2024-12-21T00:08:14.780003704'], [50.5835815, 8.6705078, '2024-12-21T00:08:28.294740741'], [50.584205, 8.670755, '2024-12-21T00:08:41.809477778'], [50.5842983, 8.6710539, '2024-12-21T00:08:55.324214815'], [50.5843812, 8.6711841, '2024-12-21T00:09:08.838951852'], [50.584436, 8.6712702, '2024-12-21T00:09:22.353688889'], [50.5847366, 8.6718143, '2024-12-21T00:09:35.868425926'], [50.5849066, 8.6715423, '2024-12-21T00:09:49.383162963'], [50.5850526, 8.6718473, '2024-12-21T00:10:02.897900']]",2024-12-21
386022,50.580418,8.664761,2024-12-21T00:04:59,50.58453,8.680142,2024-12-21T00:23:13,1094.472473,1429.7989999999998,"[[50.5803143, 8.6646412, '2024-12-21T00:04:59'], [50.5803588, 8.6645584, '2024-12-21T00:05:27.801907184'], [50.5804093, 8.6644626, '2024-12-21T00:05:56.603814368'], [50.5806046, 8.6646893, '2024-12-21T00:06:25.405721553'], [50.5809885, 8.6651658, '2024-12-21T00:06:54.207628737'], [50.5811638, 8.6653758, '2024-12-21T00:07:23.009535921'], [50.5811853, 8.6654033, '2024-12-21T00:07:51.811443105'], [50.5812321, 8.6654611, '2024-12-21T00:08:20.613350289'], [50.5813834, 8.6657269, '2024-12-21T00:08:49.415257474'], [50.5811532, 8.6662801, '2024-12-21T00:09:18.217164658'], [50.5810005, 8.6665855, '2024-12-21T00:09:47.019071842'], [50.5809898, 8.6666084, '2024-12-21T00:10:15.820979026'], [50.5808884, 8.6668114, '2024-12-21T00:10:44.622886211'], [50.5808749, 8.666839, '2024-12-21T00:11:13.424793395'], [50.5806841, 8.6672001, '2024-12-21T00:11:42.226700579'], [50.5803911, 8.6677252, '2024-12-21T00:12:11.028607763'], [50.5803586, 8.6677869, '2024-12-21T00:12:39.830514947'], [50.5802769, 8.6679503, '2024-12-21T00:13:08.632422132'], [50.5811967, 8.6692149, '2024-12-21T00:13:37.434329316'], [50.5817988, 8.6699706, '2024-12-21T00:14:06.236236500'], [50.5818087, 8.6704211, '2024-12-21T00:14:35.038143684'], [50.5816562, 8.6709338, '2024-12-21T00:15:03.840050868'], [50.581634, 8.6711747, '2024-12-21T00:15:32.641958053'], [50.5816754, 8.6716856, '2024-12-21T00:16:01.443865237'], [50.5818191, 8.6721887, '2024-12-21T00:16:30.245772421'], [50.5820836, 8.6729967, '2024-12-21T00:16:59.047679605'], [50.582221, 8.673412, '2024-12-21T00:17:27.849586789'], [50.5823327, 8.6737516, '2024-12-21T00:17:56.651493974'], [50.5825524, 8.6744123, '2024-12-21T00:18:25.453401158'], [50.5825674, 8.6744628, '2024-12-21T00:18:54.255308342'], [50.5827766, 8.6750906, '2024-12-21T00:19:23.057215526'], [50.5832674, 8.6766562, '2024-12-21T00:19:51.859122711'], [50.5835333, 8.6773789, '2024-12-21T00:20:20.661029895'], [50.5835838, 8.6774954, '2024-12-21T00:20:49.462937079'], [50.5840111, 8.6783895, '2024-12-21T00:21:18.264844263'], [50.5846631, 8.6792155, '2024-12-21T00:21:47.066751447'], [50.5845542, 8.679455, '2024-12-21T00:22:15.868658632'], [50.5843851, 8.6800729, '2024-12-21T00:22:44.670565816'], [50.5844574, 8.6802382, '2024-12-21T00:23:13.472473']]",2024-12-21
91246,50.581152,8.664379,2024-12-21T00:04:59,50.58266,8.70796,2024-12-21T00:39:25,2066.716287,3738.293,"[[50.5810417, 8.6642376, '2024-12-21T00:04:59'], [50.5808793, 8.6641127, '2024-12-21T00:05:20.528294656'], [50.5807728, 8.6643442, '2024-12-21T00:05:42.056589313'], [50.5806046, 8.6646893, '2024-12-21T00:06:03.584883969'], [50.5809885, 8.6651658, '2024-12-21T00:06:25.113178625'], [50.5811638, 8.6653758, '2024-12-21T00:06:46.641473281'], [50.5811853, 8.6654033, '2024-12-21T00:07:08.169767938'], [50.5812321, 8.6654611, '2024-12-21T00:07:29.698062594'], [50.5813834, 8.6657269, '2024-12-21T00:07:51.226357250'], [50.5811532, 8.6662801, '2024-12-21T00:08:12.754651906'], [50.5810005, 8.6665855, '2024-12-21T00:08:34.282946563'], [50.5809898, 8.6666084, '2024-12-21T00:08:55.811241219'], [50.5808884, 8.6668114, '2024-12-21T00:09:17.339535875'], [50.5808749, 8.666839, '2024-12-21T00:09:38.867830531'], [50.5806841, 8.6672001, '2024-12-21T00:10:00.396125187'], [50.5803911, 8.6677252, '2024-12-21T00:10:21.924419844'], [50.5803586, 8.6677869, '2024-12-21T00:10:43.452714500'], [50.5802769, 8.6679503, '2024-12-21T00:11:04.981009156'], [50.5811967, 8.6692149, '2024-12-21T00:11:26.509303813'], [50.5817988, 8.6699706, '2024-12-21T00:11:48.037598469'], [50.5818087, 8.6704211, '2024-12-21T00:12:09.565893125'], [50.5816562, 8.6709338, '2024-12-21T00:12:31.094187781'], [50.581634, 8.6711747, '2024-12-21T00:12:52.622482438'], [50.5816754, 8.6716856, '2024-12-21T00:13:14.150777094'], [50.5818191, 8.6721887, '2024-12-21T00:13:35.679071750'], [50.5820836, 8.6729967, '2024-12-21T00:13:57.207366406'], [50.582221, 8.673412, '2024-12-21T00:14:18.735661063'], [50.5823327, 8.6737516, '2024-12-21T00:14:40.263955718'], [50.5825524, 8.6744123, '2024-12-21T00:15:01.792250375'], [50.5825674, 8.6744628, '2024-12-21T00:15:23.320545031'], [50.5827766, 8.6750906, '2024-12-21T00:15:44.848839688'], [50.5832674, 8.6766562, '2024-12-21T00:16:06.377134344'], [50.5835333, 8.6773789, '2024-12-21T00:16:27.905429'], [50.5835838, 8.6774954, '2024-12-21T00:16:49.433723656'], [50.5840111, 8.6783895, '2024-12-21T00:17:10.962018313'], [50.5833358, 8.6792165, '2024-12-21T00:17:32.490312969'], [50.5831396, 8.6794953, '2024-12-21T00:17:54.018607625'], [50.5830576, 8.6796628, '2024-12-21T00:18:15.546902281'], [50.5829222, 8.6799291, '2024-12-21T00:18:37.075196937'], [50.582886, 8.6803867, '2024-12-21T00:18:58.603491594'], [50.5829652, 8.6808347, '2024-12-21T00:19:20.131786250'], [50.5830561, 8.6812353, '2024-12-21T00:19:41.660080906'], [50.5830967, 8.6814087, '2024-12-21T00:20:03.188375563'], [50.5831189, 8.6815094, '2024-12-21T00:20:24.716670219'], [50.5832217, 8.6820029, '2024-12-21T00:20:46.244964875'], [50.5832706, 8.6822478, '2024-12-21T00:21:07.773259531'], [50.5833605, 8.6826919, '2024-12-21T00:21:29.301554188'], [50.583464, 8.6832376, '2024-12-21T00:21:50.829848844'], [50.5834993, 8.6834253, '2024-12-21T00:22:12.358143500'], [50.5835535, 8.6837136, '2024-12-21T00:22:33.886438156'], [50.583598, 8.6839533, '2024-12-21T00:22:55.414732813'], [50.5836387, 8.6841989, '2024-12-21T00:23:16.943027469'], [50.5835986, 8.685062, '2024-12-21T00:23:38.471322125'], [50.5835806, 8.6852188, '2024-12-21T00:23:59.999616781'], [50.5833016, 8.6883219, '2024-12-21T00:24:21.527911437'], [50.5832076, 8.6895145, '2024-12-21T00:24:43.056206094'], [50.5831261, 8.6903731, '2024-12-21T00:25:04.584500750'], [50.5830924, 8.6907078, '2024-12-21T00:25:26.112795406'], [50.5830403, 8.6914006, '2024-12-21T00:25:47.641090063'], [50.583003, 8.691928, '2024-12-21T00:26:09.169384719'], [50.5829627, 8.6923131, '2024-12-21T00:26:30.697679375'], [50.5828754, 8.6926883, '2024-12-21T00:26:52.225974031'], [50.5828022, 8.6928795, '2024-12-21T00:27:13.754268688'], [50.5827223, 8.6930739, '2024-12-21T00:27:35.282563344'], [50.5826306, 8.6933004, '2024-12-21T00:27:56.810858'], [50.582265, 8.6942684, '2024-12-21T00:28:18.339152656'], [50.582137, 8.6946196, '2024-12-21T00:28:39.867447312'], [50.5820043, 8.6949846, '2024-12-21T00:29:01.395741969'], [50.5816152, 8.6959889, '2024-12-21T00:29:22.924036625'], [50.5815531, 8.6961616, '2024-12-21T00:29:44.452331281'], [50.5814887, 8.696352, '2024-12-21T00:30:05.980625938'], [50.5813066, 8.6968359, '2024-12-21T00:30:27.508920594'], [50.5812802, 8.6969072, '2024-12-21T00:30:49.037215250'], [50.5811703, 8.6972143, '2024-12-21T00:31:10.565509906'], [50.5807257, 8.6983908, '2024-12-21T00:31:32.093804563'], [50.5804699, 8.6990462, '2024-12-21T00:31:53.622099219'], [50.5809331, 8.6995665, '2024-12-21T00:32:15.150393875'], [50.5814581, 8.6999217, '2024-12-21T00:32:36.678688531'], [50.5816585, 8.7000538, '2024-12-21T00:32:58.206983188'], [50.581956, 8.700217, '2024-12-21T00:33:19.735277844'], [50.5818523, 8.7008504, '2024-12-21T00:33:41.263572500'], [50.581746, 8.7014735, '2024-12-21T00:34:02.791867156'], [50.581669, 8.7019386, '2024-12-21T00:34:24.320161813'], [50.5816616, 8.7019868, '2024-12-21T00:34:45.848456469'], [50.5815954, 8.702418, '2024-12-21T00:35:07.376751125'], [50.5815189, 8.7029139, '2024-12-21T00:35:28.905045781'], [50.5814871, 8.7031035, '2024-12-21T00:35:50.433340437'], [50.5814163, 8.7035259, '2024-12-21T00:36:11.961635094'], [50.581365, 8.7038227, '2024-12-21T00:36:33.489929750'], [50.5822537, 8.7039783, '2024-12-21T00:36:55.018224406'], [50.5822282, 8.704923, '2024-12-21T00:37:16.546519063'], [50.582223, 8.7058651, '2024-12-21T00:37:38.074813719'], [50.5821203, 8.705864, '2024-12-21T00:37:59.603108375'], [50.582167, 8.7065525, '2024-12-21T00:38:21.131403031'], [50.5822683, 8.7069217, '2024-12-21T00:38:42.659697688'], [50.5823612, 8.7073056, '2024-12-21T00:39:04.187992344'], [50.5825024, 8.7079044, '2024-12-21T00:39:25.716287']]",2024-12-21
91018,50.579946,8.67848,2024-12-21T00:05:59,50.59863,8.692892,2024-12-21T00:20:11,851.419195,2843.7859999999996,"[[50.5798525, 8.6786714, '2024-12-21T00:05:59'], [50.5803853, 8.6797581, '2024-12-21T00:06:11.707749179'], [50.5807219, 8.6793595, '2024-12-21T00:06:24.415498358'], [50.5807886, 8.6792784, '2024-12-21T00:06:37.123247537'], [50.5809405, 8.6790944, '2024-12-21T00:06:49.830996716'], [50.5811254, 8.6788809, '2024-12-21T00:07:02.538745896'], [50.5812374, 8.6787481, '2024-12-21T00:07:15.246495075'], [50.5812905, 8.6788593, '2024-12-21T00:07:27.954244254'], [50.5814501, 8.6791782, '2024-12-21T00:07:40.661993433'], [50.5815887, 8.6793682, '2024-12-21T00:07:53.369742612'], [50.58178, 8.6791339, '2024-12-21T00:08:06.077491791'], [50.5818745, 8.6790157, '2024-12-21T00:08:18.785240970'], [50.5820003, 8.6792653, '2024-12-21T00:08:31.492990149'], [50.5824505, 8.6801602, '2024-12-21T00:08:44.200739328'], [50.5824998, 8.6802621, '2024-12-21T00:08:56.908488507'], [50.5826661, 8.6803733, '2024-12-21T00:09:09.616237687'], [50.5828907, 8.6810431, '2024-12-21T00:09:22.323986866'], [50.5830561, 8.6812353, '2024-12-21T00:09:35.031736044'], [50.5830967, 8.6814087, '2024-12-21T00:09:47.739485224'], [50.5833744, 8.6812582, '2024-12-21T00:10:00.447234403'], [50.5836879, 8.6811438, '2024-12-21T00:10:13.154983582'], [50.5841427, 8.6812573, '2024-12-21T00:10:25.862732761'], [50.5844427, 8.6815672, '2024-12-21T00:10:38.570481940'], [50.5846048, 8.6818135, '2024-12-21T00:10:51.278231119'], [50.5849864, 8.6837881, '2024-12-21T00:11:03.985980299'], [50.5850532, 8.6840808, '2024-12-21T00:11:16.693729478'], [50.5851722, 8.6844286, '2024-12-21T00:11:29.401478657'], [50.5853112, 8.6847716, '2024-12-21T00:11:42.109227836'], [50.5854287, 8.6850098, '2024-12-21T00:11:54.816977015'], [50.5858137, 8.6856531, '2024-12-21T00:12:07.524726194'], [50.58592, 8.6858112, '2024-12-21T00:12:20.232475373'], [50.5860688, 8.6860159, '2024-12-21T00:12:32.940224552'], [50.5866568, 8.686668, '2024-12-21T00:12:45.647973731'], [50.5868505, 8.6866023, '2024-12-21T00:12:58.355722910'], [50.5870707, 8.6867827, '2024-12-21T00:13:11.063472089'], [50.5878992, 8.6875241, '2024-12-21T00:13:23.771221269'], [50.5879413, 8.6874447, '2024-12-21T00:13:36.478970448'], [50.5882766, 8.6868128, '2024-12-21T00:13:49.186719627'], [50.5889722, 8.6876572, '2024-12-21T00:14:01.894468806'], [50.5890775, 8.6877816, '2024-12-21T00:14:14.602217985'], [50.58942, 8.6881844, '2024-12-21T00:14:27.309967164'], [50.5910256, 8.690207, '2024-12-21T00:14:40.017716343'], [50.5911301, 8.6899635, '2024-12-21T00:14:52.725465522'], [50.5912429, 8.689955, '2024-12-21T00:15:05.433214701'], [50.5929905, 8.6924855, '2024-12-21T00:15:18.140963881'], [50.5930467, 8.6925728, '2024-12-21T00:15:30.848713060'], [50.5932284, 8.6924707, '2024-12-21T00:15:43.556462239'], [50.594302, 8.6919253, '2024-12-21T00:15:56.264211417'], [50.5949854, 8.6915969, '2024-12-21T00:16:08.971960597'], [50.5962748, 8.6908724, '2024-12-21T00:16:21.679709776'], [50.596351, 8.6909106, '2024-12-21T00:16:34.387458955'], [50.5968047, 8.6907058, '2024-12-21T00:16:47.095208134'], [50.5969327, 8.6906453, '2024-12-21T00:16:59.802957313'], [50.596999, 8.6906121, '2024-12-21T00:17:12.510706493'], [50.5971259, 8.6905527, '2024-12-21T00:17:25.218455672'], [50.5972709, 8.6904919, '2024-12-21T00:17:37.926204851'], [50.5974252, 8.6904191, '2024-12-21T00:17:50.633954030'], [50.5974481, 8.6904076, '2024-12-21T00:18:03.341703209'], [50.5976804, 8.6902279, '2024-12-21T00:18:16.049452388'], [50.5978379, 8.690635, '2024-12-21T00:18:28.757201567'], [50.5980526, 8.6911896, '2024-12-21T00:18:41.464950746'], [50.598274, 8.6917456, '2024-12-21T00:18:54.172699925'], [50.5983811, 8.6920163, '2024-12-21T00:19:06.880449104'], [50.598395, 8.6920493, '2024-12-21T00:19:19.588198284'], [50.5984531, 8.6922031, '2024-12-21T00:19:32.295947463'], [50.598533, 8.6924062, '2024-12-21T00:19:45.003696642'], [50.5986828, 8.6928103, '2024-12-21T00:19:57.711445821'], [50.5985872, 8.6929123, '2024-12-21T00:20:10.419195']]",2024-12-21
91312,50.584831,8.690069,2024-12-21T00:16:08,50.584724,8.690051,2024-12-21T00:17:08,60.717761,0.0,"[[50.5847267, 8.6899772, '2024-12-21T00:16:08']]",2024-12-21
91312,50.584724,8.690051,2024-12-21T00:17:08,50.584711,8.690048,2024-12-21T00:18:09,60.8186,0.0,"[[50.5847267, 8.6899772, '2024-12-21T00:17:08']]",2024-12-21
386301,50.580753,8.695099,2024-12-21T00:19:10,50.584724,8.689242,2024-12-21T00:38:25,1154.430776,754.777,"[[50.5807919, 8.6951385, '2024-12-21T00:19:10'], [50.5808771, 8.6949538, '2024-12-21T00:20:02.474126182'], [50.5809737, 8.695096, '2024-12-21T00:20:54.948252364'], [50.5811763, 8.6952738, '2024-12-21T00:21:47.422378545'], [50.581214, 8.6952035, '2024-12-21T00:22:39.896504727'], [50.5814478, 8.6954136, '2024-12-21T00:23:32.370630909'], [50.5816471, 8.694837, '2024-12-21T00:24:24.844757091'], [50.5817138, 8.6944611, '2024-12-21T00:25:17.318883273'], [50.5818429, 8.6941159, '2024-12-21T00:26:09.793009455'], [50.5820944, 8.6937738, '2024-12-21T00:27:02.267135636'], [50.5822139, 8.6934377, '2024-12-21T00:27:54.741261818'], [50.5822802, 8.6931996, '2024-12-21T00:28:47.215388'], [50.582598, 8.6930364, '2024-12-21T00:29:39.689514182'], [50.5827223, 8.6930739, '2024-12-21T00:30:32.163640364'], [50.5828022, 8.6928795, '2024-12-21T00:31:24.637766545'], [50.5828754, 8.6926883, '2024-12-21T00:32:17.111892727'], [50.5829627, 8.6923131, '2024-12-21T00:33:09.586018909'], [50.583003, 8.691928, '2024-12-21T00:34:02.060145091'], [50.5830403, 8.6914006, '2024-12-21T00:34:54.534271273'], [50.5830924, 8.6907078, '2024-12-21T00:35:47.008397455'], [50.5831261, 8.6903731, '2024-12-21T00:36:39.482523636'], [50.5832076, 8.6895145, '2024-12-21T00:37:31.956649818'], [50.5846105, 8.6893544, '2024-12-21T00:38:24.430776']]",2024-12-21
91164,50.588102,8.677491,2024-12-21T00:19:10,50.579946,8.67848,2024-12-21T00:28:17,546.697329,1328.773,"[[50.587906, 8.6777836, '2024-12-21T00:19:10'], [50.5877558, 8.6779083, '2024-12-21T00:19:24.775603486'], [50.5875384, 8.6781037, '2024-12-21T00:19:39.551206973'], [50.5873411, 8.6788415, '2024-12-21T00:19:54.326810459'], [50.5872487, 8.6789401, '2024-12-21T00:20:09.102413946'], [50.5872833, 8.6793545, '2024-12-21T00:20:23.878017432'], [50.5872149, 8.6793603, '2024-12-21T00:20:38.653620919'], [50.587237, 8.6799975, '2024-12-21T00:20:53.429224405'], [50.5869463, 8.6802197, '2024-12-21T00:21:08.204827892'], [50.5868061, 8.6802287, '2024-12-21T00:21:22.980431378'], [50.5865989, 8.6804736, '2024-12-21T00:21:37.756034865'], [50.5865674, 8.6809282, '2024-12-21T00:21:52.531638351'], [50.586053, 8.680535, '2024-12-21T00:22:07.307241838'], [50.585332, 8.6797878, '2024-12-21T00:22:22.082845324'], [50.585154, 8.6796028, '2024-12-21T00:22:36.858448811'], [50.584703, 8.679125, '2024-12-21T00:22:51.634052297'], [50.5840833, 8.6783053, '2024-12-21T00:23:06.409655784'], [50.5837809, 8.6777057, '2024-12-21T00:23:21.185259270'], [50.583596, 8.6773049, '2024-12-21T00:23:35.960862757'], [50.5834105, 8.6767498, '2024-12-21T00:23:50.736466243'], [50.5832674, 8.6766562, '2024-12-21T00:24:05.512069730'], [50.582967, 8.6768892, '2024-12-21T00:24:20.287673216'], [50.5827776, 8.6770373, '2024-12-21T00:24:35.063276703'], [50.5825972, 8.6771831, '2024-12-21T00:24:49.838880189'], [50.5824027, 8.6773569, '2024-12-21T00:25:04.614483676'], [50.582211, 8.6775603, '2024-12-21T00:25:19.390087162'], [50.5820411, 8.6777721, '2024-12-21T00:25:34.165690649'], [50.5817832, 8.6780854, '2024-12-21T00:25:48.941294135'], [50.5815575, 8.6783646, '2024-12-21T00:26:03.716897622'], [50.5813356, 8.6786307, '2024-12-21T00:26:18.492501108'], [50.5812721, 8.6787071, '2024-12-21T00:26:33.268104595'], [50.5812374, 8.6787481, '2024-12-21T00:26:48.043708081'], [50.5811254, 8.6788809, '2024-12-21T00:27:02.819311568'], [50.5809405, 8.6790944, '2024-12-21T00:27:17.594915054'], [50.5807886, 8.6792784, '2024-12-21T00:27:32.370518541'], [50.5807219, 8.6793595, '2024-12-21T00:27:47.146122027'], [50.5803853, 8.6797581, '2024-12-21T00:28:01.921725514'], [50.5798525, 8.6786714, '2024-12-21T00:28:16.697329']]",2024-12-21
