bike_number,start_latitude,start_longitude,start_time,end_latitude,end_longitude,end_time,duration,distance
386002,50.571078,8.674602,2024-11-06 14:02:01.430059,50.581435,8.696279,2024-11-06 14:14:02.549016,0 days 00:12:01.118957,2623.897
386002,50.581435,8.696279,2024-11-06 14:28:02.128389,50.587148,8.682158,2024-11-06 14:38:01.437227,0 days 00:09:59.308838,1319.76
386002,50.587148,8.682158,2024-11-06 14:41:01.891032,50.585137,8.671877,2024-11-06 14:46:02.058841,0 days 00:05:00.167809,1020.2550000000001
386003,50.587148,8.682158,2024-11-06 14:33:01.663582,50.58453,8.680142,2024-11-06 14:41:01.891032,0 days 00:08:00.227450,448.03700000000003
386006,50.576782,8.691108,2024-11-06 13:44:02.258740,50.579946,8.67848,2024-11-06 13:59:01.355452,0 days 00:14:59.096712,1251.049
386007,50.573486,8.700008,2024-11-06 14:04:02.198434,50.58266,8.70796,2024-11-06 14:16:01.307319,0 days 00:11:59.108885,1447.217
386012,50.587148,8.682158,2024-11-06 14:29:01.591779,50.587726,8.668395,2024-11-06 14:39:01.933420,0 days 00:10:00.341641,1461.7250000000001
386016,50.579946,8.67848,2024-11-06 14:02:01.430059,50.578991,8.664509,2024-11-06 14:08:01.933839,0 days 00:06:00.503780,1296.7609999999995
386016,50.578991,8.664509,2024-11-06 14:34:02.078296,50.576216,8.69397,2024-11-06 14:48:02.072381,0 days 00:13:59.994085,2538.9620000000004
386016,50.576216,8.69397,2024-11-06 14:50:02.151459,50.579946,8.67848,2024-11-06 14:57:02.125797,0 days 00:06:59.974338,1468.162
386017,50.587148,8.682158,2024-11-06 14:28:02.128389,50.580418,8.664761,2024-11-06 14:36:01.530245,0 days 00:07:59.401856,1752.0380000000002
386017,50.580418,8.664761,2024-11-06 14:51:01.560219,50.588102,8.677491,2024-11-06 14:58:01.534617,0 days 00:06:59.974398,1537.389
386019,50.585204,8.71319,2024-11-06 14:16:01.307319,50.58453,8.680142,2024-11-06 14:32:02.266793,0 days 00:16:00.959474,2888.0240000000003
386021,50.590141,8.684306,2024-11-06 14:29:01.591779,50.585137,8.671877,2024-11-06 14:40:01.424742,0 days 00:10:59.832963,1153.848
386022,50.580418,8.664761,2024-11-06 14:09:01.441694,50.570486,8.665858,2024-11-06 14:25:01.378458,0 days 00:15:59.936764,1877.459
386022,50.570486,8.665858,2024-11-06 14:52:01.982886,50.578991,8.664509,2024-11-06 15:02:02.715077,0 days 00:10:00.732191,1443.886
386028,50.571078,8.674602,2024-11-06 14:12:04.066075,50.579946,8.67848,2024-11-06 14:31:01.400382,0 days 00:18:57.334307,1476.1790000000003
386029,50.580418,8.664761,2024-11-06 14:33:01.663582,50.579946,8.67848,2024-11-06 14:41:01.891032,0 days 00:08:00.227450,1308.99
386030,50.573486,8.700008,2024-11-06 14:32:02.266793,50.581435,8.696279,2024-11-06 14:43:02.642827,0 days 00:11:00.376034,1338.3310000000001
386030,50.581435,8.696279,2024-11-06 14:48:02.072381,50.576775,8.694906,2024-11-06 14:53:01.449360,0 days 00:04:59.376979,755.867
386031,50.589469,8.681104,2024-11-06 14:22:02.219019,50.580418,8.664761,2024-11-06 14:32:02.266793,0 days 00:10:00.047774,1653.2569999999998
386031,50.580418,8.664761,2024-11-06 14:50:02.151459,50.585584,8.684702,2024-11-06 14:58:01.534617,0 days 00:07:59.383158,1883.0489999999998
386035,50.573486,8.700008,2024-11-06 13:58:02.002347,50.57525,8.697667,2024-11-06 14:02:01.430059,0 days 00:03:59.427712,350.127
386035,50.57525,8.697667,2024-11-06 14:52:01.982886,50.573486,8.700008,2024-11-06 14:54:01.833736,0 days 00:01:59.850850,350.12700000000007
386035,50.573486,8.700008,2024-11-06 14:57:02.125797,50.576661,8.692147,2024-11-06 15:03:02.239400,0 days 00:06:00.113603,819.711
386041,50.571078,8.674602,2024-11-06 14:16:01.307319,50.579946,8.67848,2024-11-06 14:25:01.378458,0 days 00:09:00.071139,1476.1790000000003
386043,50.587148,8.682158,2024-11-06 14:34:02.078296,50.581152,8.664379,2024-11-06 14:45:02.070880,0 days 00:10:59.992584,1779.6480000000004
386046,50.589469,8.681104,2024-11-06 14:36:01.530245,50.58453,8.680142,2024-11-06 14:43:02.642827,0 days 00:07:01.112582,691.717
386057,50.579946,8.67848,2024-11-06 14:04:02.198434,50.582722,8.673988,2024-11-06 14:08:01.933839,0 days 00:03:59.735405,558.1170000000001
386060,50.572309,8.682867,2024-11-06 14:24:02.002680,50.565264,8.687189,2024-11-06 14:29:01.591779,0 days 00:04:59.589099,1049.2689999999998
386061,50.587148,8.682158,2024-11-06 14:29:01.591779,50.587726,8.668395,2024-11-06 14:39:01.933420,0 days 00:10:00.341641,1461.7250000000001
